feature,importance
alcohol,0.12406605091225567
density,0.10057353945326847
volatile acidity,0.10040686834635185
total sulfur dioxide,0.09052566395745497
chlorides,0.08783826386356774
sulphates,0.08754732877285185
ph,0.08503194253687328
free sulfur dioxide,0.08451232344738713
residual sugar,0.08359355415040666
citric acid,0.07949934315526731
fixed acidity,0.0764051214043152
